ID,P05,P16,P50,P84,P95,Pmean
E01267N3753E01646N3535-BS-M680_E01502N3737_D133_S247D30R090_A000357_S016,1.6630698529875001e-06,2.6881674968755197e-06,5.1366755194050005e-06,9.596815589662117e-06,1.553807901430799e-05,6.320906423054127e-06
E01267N3753E01646N3535-BS-M809_E01502N3737_D144_S067D50R090_A006995_S075,0.0,0.0,8.294547763902e-10,7.923374099858398e-08,2.7370320325774794e-07,5.212967380413257e-08
E01889N4173E02097N3847-BS-M792_E01996N3917_D010_S292D30R090_A008541_S034,0.0,0.0,5.0305014411235e-12,9.96322841369759e-08,4.34347687963295e-06,4.737526676803752e-07
E01267N3753E01646N3535-BS-M707_E01502N3737_D115_S067D50R090_A000668_S023,1.203189436238394e-07,2.025325130462712e-07,4.137400646973e-07,8.773739046261504e-07,1.6435238406329698e-06,5.661961876953588e-07
E01470N3877E01631N3641-BS-M754_E01555N3715_D010_S337D30R090_A003524_S022,2.1332741254639198e-09,6.1421346570338646e-09,2.2245607988622e-08,7.415532115977595e-08,1.4415629306293798e-07,4.117361482459914e-08
E01470N3877E01631N3641-BS-M707_E01583N3715_D010_S022D50R090_A001194_S013,7.0278997549831e-09,1.408199914744896e-08,4.13545609561175e-08,1.0202259356726133e-07,1.8416700341080997e-07,6.215287730768466e-08
E01470N3877E01631N3641-BS-M754_E01555N3715_D010_S022D30R090_A003524_S022,2.08520946054108e-09,6.5754746382153605e-09,2.3755419438444e-08,7.7906381498568e-08,1.5628534008561893e-07,4.607819037193568e-08
E01267N3753E01646N3535-BS-M732_E01498N3715_D010_S202D50R090_A001180_S030,7.88377592895525e-09,1.586541847200857e-08,4.293902989287e-08,1.2890113925109842e-07,2.7047950269288594e-07,7.803179188031336e-08
E01267N3753E01646N3535-BS-M774_E01498N3715_D010_S247D50R270_A003139_S050,1.574986401478275e-09,5.57712710699472e-09,2.094430971893925e-08,7.449093757068179e-08,1.5972842634474595e-07,4.3790278659901233e-08
E01470N3877E01631N3641-BS-M754_E01555N3715_D010_S157D30R090_A003524_S022,2.6617633814896202e-09,5.95472251024224e-09,2.1748011692903997e-08,6.713625800529215e-08,1.4497814673612893e-07,4.065594155886545e-08
E01267N3753E01646N3535-BS-M754_E01498N3715_D172_S202D50R090_A001972_S039,6.32773925063575e-09,1.31835721071936e-08,3.9784859226680006e-08,1.313147568439084e-07,2.8590293226368494e-07,8.112251116462004e-08
E01267N3753E01646N3535-BS-M754_E01498N3715_D010_S247D30R090_A001972_S039,3.14053301684605e-09,8.27911303820544e-09,2.8792062940354e-08,9.406169559398518e-08,2.27604163956567e-07,5.736330598812832e-08
E01470N3877E01631N3641-BS-M754_E01534N3760_D010_S247D50R090_A003524_S022,3.7246417799663504e-09,9.136284313679039e-09,2.6831170154199997e-08,7.351257300953038e-08,1.4725717258487497e-07,4.569657116584775e-08
E01470N3877E01631N3641-BS-M732_E01534N3760_D010_S292D50R090_A002108_S017,5.1123659457474005e-09,1.191723554512968e-08,3.503141944326e-08,9.803860299943438e-08,1.7875088366731697e-07,5.62525633733738e-08
E01470N3877E01631N3641-BS-M754_E01555N3715_D010_S112D50R090_A003524_S022,4.2021286722549005e-09,1.0000910818411199e-08,3.460718844756e-08,9.921302437775038e-08,2.0640855251086184e-07,6.1717780569129e-08
E01470N3877E01631N3641-BS-M809_E01538N3782_D010_S022D30R270_A012497_S042,0.0,0.0,1.9128246218631e-11,3.246812278423559e-07,1.1225936344233577e-06,2.2050235573985807e-07
E01267N3753E01646N3535-BS-M754_E01523N3692_D010_S067D50R090_A001972_S039,3.295241094755155e-09,6.8959050090893605e-09,2.1475391267535e-08,6.908611386063438e-08,1.5677522885237683e-07,4.35546100096068e-08
E01470N3877E01631N3641-BS-M754_E01555N3715_D010_S247D50R090_A003524_S022,5.1998033905848e-09,1.254969437478912e-08,4.0524125587884e-08,1.249570722397032e-07,2.3757839016911084e-07,7.23227665602409e-08
E01267N3753E01646N3535-BS-M754_E01502N3737_D010_S292D50R090_A001972_S039,3.39244204992335e-09,7.01007344455376e-09,2.083592727243e-08,7.319928991564159e-08,1.317588541922464e-07,3.97168176417527e-08
