scenario,max_flow_depth,inundated_pixels,max_eta,is_train,log_max_eta,square_max_eta
5_PS_2798/1572_E01548N3896E01854N3659-PS-Mur_PYes_Var-M707_E01679N3705_S000,0.61045367,2251,0.14558057,FALSE,-0.8368966,0.021193702
PS_2798/1642_E02113N3823E02873N3483-PS-Str_PNo_Hom-M754_E02176N3736_S000,0.24939202,882,0.05454072,FALSE,-1.2632791,0.00297469
3_PS_2798/2758_E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02365N3499_S004,1.814619,10411,0.7216274,FALSE,-0.14168698,0.520746104
6_PS_2798/1477_E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01708N3793_S003,6.7695694,153610,2.8553398,FALSE,0.45565778,8.152965373
PS_2798/2052_E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01734N3775_S005,6.7701435,186525,3.7027187,FALSE,0.5685207,13.71012577
6_PS_2798/2262_E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02245N3515_S003,6.512959,87388,3.0662446,FALSE,0.4866068,9.401855947
5_PS_2798/0511_E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02263N3578_S005,4.266211,33340,1.9607953,FALSE,0.29243225,3.844718209
10_PS_2803/1068_E02020N3739E02658N3366-PS-Mur_PYes_Var-M792_E02159N3618_S000,0.82372534,4013,0.30184218,FALSE,-0.52022004,0.091108702
5_PS_2798/0001_E02113N3823E02873N3483-PS-Str_PYes_Hom-M809_E02333N3573_S000,0.6500903,3327,0.24713176,FALSE,-0.6070714,0.061074107
7_PS_2798/1666_E01964N3926E02184N3685-PS-Mur_PNo_Var-M809_E02099N3756_S000,0.9140095,4465,0.2872649,FALSE,-0.5417174,0.082521123
9_PS_2798/1568_E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02498N3423_S004,4.6721168,58860,1.302815,FALSE,0.11488274,1.697326924
7_PS_2798/1159_E02020N3739E02658N3366-PS-Str_PYes_Var-M809_E02152N3645_S000,1.167309,5401,0.35196725,FALSE,-0.45349774,0.123880945
10_PS_2803/2790_E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02498N3438_S002,4.5690365,43258,2.021301,FALSE,0.305631,4.085657733
6_PS_2798/1860_E01964N3926E02184N3685-PS-Mur_PYes_Hom-M809_E02048N3750_S000,0.92017466,4715,0.28891245,FALSE,-0.53923374,0.083470404
6_PS_2798/2382_E02020N3739E02658N3366-PS-Str_PNo_Var-M861_E02193N3666_S001,4.8141694,50722,1.915221,FALSE,0.2822189,3.668071479
4_PS_2798/1330_E02020N3739E02658N3366-PS-Mur_PYes_Var-M754_E02225N3486_S000,0.50843513,2345,0.14230624,FALSE,-0.84677607,0.020251066
5_PS_2798/2649_E02020N3739E02658N3366-PS-Mur_PYes_Hom-M880_E02384N3458_S002,3.5966024,21076,1.37098,FALSE,0.13703112,1.87958616
6_PS_2798/2391_E01577N3897E01966N3571-PS-Str_PYes_Hom-M732_E01851N3818_S000,0.51391387,2578,0.18833375,FALSE,-0.72507185,0.035469601
4_PS_2798/2101_E01548N3896E01854N3659-PS-Mur_PYes_Var-M792_E01704N3687_S000,2.8367054,16554,1.1180453,FALSE,0.04845941,1.250025293
6_PS_2798/1773_E02020N3739E02658N3366-PS-Str_PYes_Var-M850_E02307N3436_S000,2.5225623,15718,0.6837027,FALSE,-0.1651327,0.467449382
10_PS_2803/2491_E01548N3896E01854N3659-PS-Str_PYes_Hom-M774_E01770N3767_S000,1.2000943,5470,0.5612292,FALSE,-0.2508597,0.314978215
8_PS_2798/1403_E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02243N3584_S005,3.666235,24170,1.4582121,FALSE,0.16382071,2.126382529
4_PS_2798/1552_E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02425N3440_S001,2.9999762,14116,0.78592414,FALSE,-0.10461938,0.617676754
6_PS_2798/1364_E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02483N3431_S005,3.927462,24718,1.0174029,FALSE,0.007492966,1.035108661
