ID,mean_prob
E01470N3877E01631N3641-BS-M754_E01534N3760_D010_S112D50R090_A003524_S022,3.934200744656501e-08
E01267N3753E01646N3535-BS-M754_E01502N3737_D010_S112D50R090_A001972_S039,4.2423972657601196e-08
E01267N3753E01646N3535-BS-M754_E01502N3737_D091_S292D50R090_A001972_S039,3.97168176417527e-08
E01470N3877E01631N3641-BS-M754_E01555N3715_D010_S067D50R090_A003524_S022,6.094532012835909e-08
E01470N3877E01631N3641-BS-M754_E01534N3760_D010_S157D50R090_A003524_S022,4.153616945577534e-08
E01267N3753E01646N3535-BS-M732_E01527N3715_D010_S157D50R090_A001180_S030,3.9677296115762345e-08
E01267N3753E01646N3535-BS-M707_E01502N3737_D062_S067D50R090_A000668_S023,5.661961876953588e-07
E01267N3753E01646N3535-BS-M754_E01498N3715_D172_S022D50R090_A001972_S039,7.483262780984835e-08
E01267N3753E01646N3535-BS-M754_E01498N3715_D172_S202D30R090_A001972_S039,5.804468931563319e-08
E01470N3877E01631N3641-BS-M732_E01534N3760_D010_S337D30R090_A002108_S017,4.19933311423959e-08
E01267N3753E01646N3535-BS-M774_E01498N3715_D107_S067D30R090_A003139_S050,3.843677882762069e-08
E01470N3877E01631N3641-BS-M754_E01534N3760_D010_S337D50R090_A003524_S022,4.033247098918197e-08
E01470N3877E01631N3641-BS-M754_E01583N3715_D010_S022D50R090_A003524_S022,3.957086513139705e-08
E01267N3753E01646N3535-BS-M754_E01502N3737_D091_S247D50R090_A001972_S039,4.033486031980259e-08
E01267N3753E01646N3535-BS-M754_E01502N3737_D010_S067D50R270_A001972_S039,3.915453505920575e-08
E01470N3877E01631N3641-BS-M732_E01603N3670_D010_S247D10R090_A002108_S017,4.916203275389407e-07
E01470N3877E01631N3641-BS-M754_E01583N3715_D010_S202D50R090_A003524_S022,3.92664207548107e-08
E01267N3753E01646N3535-BS-M732_E01527N3715_D010_S337D50R090_A001180_S030,3.854510053577372e-08
E01267N3753E01646N3535-BS-M754_E01502N3737_D010_S247D50R090_A001972_S039,4.033486031980259e-08
E01267N3753E01646N3535-BS-M754_E01498N3715_D091_S067D30R090_A001972_S039,5.870215152487289e-08
E01267N3753E01646N3535-BS-M774_E01498N3715_D010_S202D30R090_A003139_S050,3.778235972401415e-08
E01267N3753E01646N3535-BS-M774_E01498N3715_D107_S247D30R090_A003139_S050,3.744212322717451e-08
E01267N3753E01646N3535-BS-M680_E01530N3737_D010_S157D50R090_A000357_S016,4.231852201462409e-08
E01267N3753E01646N3535-BS-M754_E01502N3737_D010_S292D50R270_A001972_S039,3.8307550498296285e-08
E01267N3753E01646N3535-BS-M774_E01498N3715_D010_S247D30R090_A003139_S050,3.744212322717451e-08
E01267N3753E01646N3535-BS-M754_E01523N3692_D010_S247D50R090_A001972_S039,4.495055585608648e-08
E01267N3753E01646N3535-BS-M774_E01498N3715_D107_S202D30R090_A003139_S050,3.778235972401415e-08
E01470N3877E01631N3641-BS-M707_E01559N3737_D010_S157D50R090_A001194_S013,5.874141988921497e-08
E01470N3877E01631N3641-BS-M754_E01555N3715_D010_S157D50R270_A003524_S022,5.962012783875869e-08
E01470N3877E01631N3641-BS-M732_E01559N3737_D010_S202D50R090_A002108_S017,3.8031715498967996e-08
