eid,s0
510,2.5058972274203644e-08
511,3.215944269444233e-08
512,3.1389294971630126e-06
513,2.8092384012663312e-08
514,1.4823607182138671e-06
515,3.136877830885189e-08
516,3.0932942658588675e-08
517,2.7421698595039084e-09
518,4.664479803564824e-07
519,6.555691073045764e-06
520,1.3701992510059481e-08
521,6.188938415645518e-06
522,9.371841085313784e-08
523,2.5237467216696906e-06
524,3.215944269444233e-08
525,1.828166781608177e-08
526,6.621041737690732e-08
527,2.333602281871017e-08
528,6.17532304515912e-08
529,1.620387412423557e-05
530,2.7802888931330197e-08
531,0.0001270012785303
532,2.874214462290868e-08
533,1.9511418623665948e-08
534,5.144203380881926e-07
535,6.469149894343649e-06
536,3.342314569313323e-08
537,2.397904618702448e-07
538,4.572812839693787e-07
539,9.968238607381156e-09
540,3.546042938829648e-07
541,7.1075987867433845e-09
542,1.3214840277161522e-08
543,9.2306998321804e-09
544,2.7488857962526583e-09
545,2.418021357896378e-06
546,2.6142394545595164e-09
547,2.0139266300333324e-08
548,2.8299256394004072e-08
549,3.126157289331731e-08
550,6.231255211392972e-06
551,2.650905581163917e-07
552,4.0664453597280295e-06
553,5.654723128717465e-09
554,1.6497835230883857e-05
555,7.054118876998599e-09
556,1.828166781608177e-08
557,1.1556514826879549e-07
558,8.038865552844331e-09
559,6.9028608698535806e-09
560,2.8567909288144868e-08
561,3.07560658432688e-08
562,3.0932942658588675e-08
563,1.893669425774353e-08
564,2.153284368871779e-07
565,9.536261155217493e-08
566,2.0592854285315224e-08
567,2.9108175743813143e-08
568,9.484586616278757e-08
569,2.155781228084532e-07
570,3.271573014237157e-06
571,1.676955485334633e-07
572,2.0174779091982225e-08
573,1.3214840277161522e-08
574,2.1106870143136617e-08
575,2.247344632749005e-07
576,3.1213111923558544e-08
577,1.8828795502986425e-08
578,3.236532710425249e-08
579,1.9718651086945845e-08
580,2.003620167104009e-07
581,1.0144826783391953e-07
582,3.140648193387719e-08
583,1.9082799634518226e-08
584,1.0283659306186463e-05
585,1.7016632369303825e-07
586,3.236532710425249e-08
587,2.0021778233662523e-08
588,7.079263702463421e-09
589,1.6381154847383357e-05
590,6.555691073045764e-06
591,6.856568140512544e-09
592,3.236532710425249e-08
593,3.68637731920376e-05
594,1.1987916464820383e-05
595,1.8621626452192482e-08
596,3.0288227240379813e-08
597,2.970307360757016e-07
598,1.9556403400135882e-08
599,2.566067987894204e-06
600,1.1783196521559405e-07
601,5.064289332290629e-08
602,1.2373365530671368e-07
603,2.421908592365483e-07
604,2.9504943146615468e-08
605,5.6387987257590827e-08
606,1.492668881951805e-08
607,1.3356071353621575e-06
608,3.600836388654703e-07
609,4.031071497800808e-08
610,2.109052005357894e-06
611,1.982066454398798e-06
612,2.1534875198042941e-07
613,1.7116373569845185e-06
614,2.7866886726221032e-08
615,4.506039687198712e-07
616,2.9552074814572344e-08
617,3.2624263502828294e-08
618,2.153284368871779e-07
619,2.9920213723199924e-08
620,3.1595190546177175e-08
621,3.86805876483539e-07
622,1.4458048060190374e-07
623,1.1534516909443454e-05
624,2.0642888987989552e-08
625,1.3378305565241161e-08
626,1.0349747463128764e-05
627,3.6843308947370695e-06
628,1.9607836530117115e-08
629,2.0454128047882906e-07
630,3.380220279726857e-09
631,9.371841085313784e-08
632,3.296350274133188e-06
633,2.7802888931330197e-08
634,7.458242311382329e-07
635,3.714507532392726e-08
636,3.817273024350328e-07
637,4.6246138783128907e-07
638,2.706335956064502e-07
639,2.7839980082952633e-08
640,3.0620208909049304e-08
