eid,p84
615,5.432163023044227e-07
616,4.282910696781314e-08
617,3.41761627777286e-09
618,2.823305966688892e-07
619,5.40174757281683e-08
620,4.6625719019947424e-08
621,9.73152845375693e-07
622,3.364159590795422e-07
623,1.55458541774774e-05
624,5.26125934e-08
625,3.0346081354051006e-08
626,1.58893236864761e-05
627,6.023228709624101e-06
628,4.85839454e-08
629,4.976361652914833e-07
630,2.694886856967316e-09
631,1.45778947368509e-07
632,4.07372725809208e-06
633,7.050908785060229e-08
634,5.446729236950455e-07
635,0.0
636,9.56685552407358e-07
637,6.03487573660745e-07
638,2.4826956521759e-07
639,6.966303819478559e-08
640,4.392746683941588e-08
641,1.1449417585395247e-05
642,9.56685552407358e-07
643,0.0
644,4.38743362831665e-08
645,8.263938851934532e-09
646,1.83019444444591e-06
647,1.95340206185653e-08
648,3.3623188405824e-07
649,5.196455555559716e-07
650,4.65556942469862e-08
651,1.45778947368509e-07
652,7.502884239622288e-09
653,6.804727272730178e-07
654,3.3623188405824e-07
655,4.79409112e-08
656,4.68640226e-08
657,7.020809637998624e-08
658,7.684314185974496e-09
659,1.8671095194234445e-07
660,3.0870765540818004e-08
661,8.593853030025479e-06
662,3.427408684065e-05
663,5.837477679614417e-08
664,1.456484260341862e-09
665,9.56685552407358e-07
666,2.4806121552388656e-06
667,2.5876637071999993e-09
668,4.39962107387784e-08
669,1.4632045761821731e-09
670,4.39143892252865e-08
671,4.7204231773418e-07
672,2.474521819665511e-07
673,2.2929731280446834e-06
674,3.0790769159756584e-06
675,9.314737434414975e-09
676,2.7976134326920704e-07
677,4.87156512e-08
678,4.56294520547735e-07
679,3.1182766684728815e-08
680,4.828959666895114e-06
681,5.02651312e-08
682,4.391485145709082e-08
683,4.470835916322355e-05
684,4.67013272e-08
685,7.258712019631955e-08
686,5.00172144e-08
687,4.42791059340385e-08
688,1.4786418341363622e-09
689,2.0685294687653065e-08
690,4.94995834654884e-07
691,6.981083404454562e-08
692,6.42654417456368e-06
693,2.753593398289371e-07
694,5.26125934e-08
695,2.763249172601701e-07
696,2.0087189247565575e-05
697,3.7667272887590743e-06
698,1.94392658187259e-06
699,2.250587416881519e-07
700,8.69823509572672e-07
701,4.65892079340825e-08
702,2.51529193198845e-07
703,8.11767467120659e-06
704,9.274868686859414e-09
705,1.1629077542901183e-07
706,2.232989145482348e-06
707,1.4583411897187913e-09
708,2.8330678484204175e-07
709,3.051679138984999e-08
710,1.45778947368509e-07
711,2.8694158075614e-08
712,6.929551781407116e-08
713,1.20495145631097e-07
714,0.0
715,5.50318357423731e-07
716,6.888454448316348e-06
717,3.5042165397956653e-06
718,1.85981949072747e-08
719,4.36567707467863e-08
720,1.851967967702156e-08
721,8.07451940194948e-07
722,5.982008039999947e-08
723,1.44128205128286e-06
724,5.8372939999999474e-08
725,1.38528906042831e-07
726,5.0513048e-08
727,7.42304444370135e-07
728,5.18533482e-08
729,5.065023273888573e-07
730,5.01799098e-08
731,1.8605411918091225e-08
732,9.826498432902617e-07
733,5.00791936e-08
734,1.88903039388339e-08
735,1.663321844660038e-05
736,1.5015491082303472e-05
737,6.395196967010992e-06
738,4.74063406e-08
739,9.56685552407358e-07
740,9.27067111326669e-07
741,1.78503253987647e-08
742,1.89639112784025e-07
743,7.050908785060229e-08
744,3.019316183797306e-08
745,3.5409426114109e-07
746,6.650413261372773e-07
747,4.884872318900471e-08
748,1.4786418341363622e-09
749,1.1968235777973103e-05
750,4.147439175259559e-08
751,3.54595361979083e-07
752,4.65556942469862e-08
753,1.08868421052614e-07
754,7.182406667778779e-08
755,4.012547945203632e-07
756,6.56090607735633e-07
757,5.44451687623391e-08
758,4.420218407915417e-08
759,1.40074946951466e-06
760,4.97358413601289e-08
761,4.29080601066697e-06
762,7.227814438938712e-08
763,9.33363014667923e-08
764,2.3700629039999994e-09
765,4.34003497158818e-07
766,1.86802547770632e-08
767,8.380833971324913e-06
768,4.3536030381853975e-07
769,3.6606190745452764e-08
770,1.659839224336346e-05
771,1.285384615385e-07
772,1.8566980223818617e-08
773,8.1885161583893e-06
774,1.8642365470276424e-08
775,5.13032828e-08
776,9.314737434414975e-09
777,1.9723873046780686e-07
778,4.886920413042837e-08
779,5.04278266e-08
780,4.38743362831665e-08
781,1.2907473745440549e-06
782,1.13714714628266e-05
783,3.4572513481839855e-08
784,9.827289719622622e-09
785,0.0
786,2.8694158075614e-08
787,4.72823822e-08
788,2.684937777779919e-07
789,6.150348968493179e-05
790,2.1456891726535946e-12
791,4.68640226e-08
792,5.7365054712095433e-05
793,9.274868686859414e-09
794,4.5135535932483373e-08
795,4.4191902612483335e-08
796,4.96143496e-08
797,4.884872318900471e-08
798,9.2527414439504e-08
799,5.909121319999947e-08
800,4.7696742417554755e-08
801,4.5670923e-08
802,4.38743362831665e-08
803,1.4681563878539817e-09
804,1.2750393667723752e-07
805,0.0
806,4.95136334e-08
807,3.588935507011918e-09
808,3.020478946560068e-08
809,1.2029224440665384e-07
810,4.980687388847723e-07
811,5.86657127525696e-05
812,0.0
813,1.2029224440665384e-07
814,1.8606890060178634e-08
815,9.274868686859414e-09
816,9.01917006129849e-07
817,3.218408364929852e-08
818,5.14349886e-08
819,1.86802547770632e-08
820,9.66267099755065e-08
821,2.289728496e-09
822,3.4074399554334237e-08
823,1.065930347879938e-07
824,9.274868686859414e-09
825,3.9128894988271294e-06
826,2.831264022445812e-07
827,6.8948e-06
828,1.86826601694123e-08
829,4.94846625767406e-07
830,2.130673114252524e-07
831,5.982008039999947e-08
832,4.570966e-08
833,4.52603108e-08
834,9.274868686859414e-09
835,1.663321844660038e-05
836,7.272096967334393e-08
837,2.8259586519411977e-07
838,2.696571757961742e-05
839,7.402584358167932e-07
840,2.6508721042329565e-07
841,4.64921474e-08
842,1.9619825191281427e-08
843,2.67857971014707e-07
844,3.23380530973309e-08
845,4.141657590356659e-08
846,6.981141560068658e-08
847,1.5270871486613278e-09
848,4.98235294e-08
849,3.077357806461078e-08
850,4.38743362831665e-08
851,7.099659327848847e-08
852,3.2444178714908794e-05
853,1.45778947368509e-07
854,5.16674106e-08
855,3.0870765540818004e-08
856,7.342103701350406e-08
857,8.420519271240208e-08
858,7.43595084281005e-06
859,4.02067480415375e-07
860,7.512333715993251e-09
861,1.8593235087469826e-07
862,6.981083404454562e-08
863,5.01411728e-08
864,1.0629508596558292e-08
865,8.014978532102942e-06
866,2.3858159465067096e-06
867,4.38743362831665e-08
868,0.0
869,1.25610668615094e-08
870,6.43224533977693e-08
871,1.56826923077011e-06
872,7.73974358974792e-07
873,2.6100040659649124e-05
874,1.22504854368961e-07
875,1.79823023708547e-08
876,1.3178930382306342e-06
877,4.6259691201172e-07
878,2.9476847595999746e-08
879,7.153822432559047e-08
880,1.4337493267816e-07
881,0.0002727291666662
882,6.658053214655252e-07
883,2.1797940747852284e-07
