idx,l2n,TRUE,truemax,id,eve_id,max_off,wave_period,dominant_period,mean_prob,dzmax,dzmin,dmax,lon,lat,max_absdz,event_type,Mag,SR
58,0.1596019119853789,9805,3.142733335494995,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M809_E01770N3767_S000,E01548N3896E01854N3659-PS-Mur_PYes_Var-M809_E01770N3767_S000,0.8,21,8,9.723758611013488e-08,0.004,0.004,3.143,17.7,37.67,0.004,1,8.09,CL
59,0.4963415161993418,29538,6.8085103034973145,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M880_E02218N3525_S004,E02020N3739E02658N3366-PS-Mur_PYes_Var-M880_E02218N3525_S004,1.18,15,26.7,6.873406559406669e-09,0.007,0.005,6.809,22.18,35.25,0.007,1,8.8,HL
60,0.011050074,887,0.4468594789505005,PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Hom-M824_E02510N3490_S000,E02113N3823E02873N3483-PS-Str_PNo_Hom-M824_E02510N3490_S000,0.08,14,60,6.646073817342086e-06,0.001,0.001,0.447,25.1,34.9,0.001,1,8.24,HL
61,0.030602045,1432,1.6473489999771118,PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M754_E01682N3667_S000,E01548N3896E01854N3659-PS-Str_PYes_Hom-M754_E01682N3667_S000,0.23,16,7.7,2.030162223456432e-07,0.001,0.001,1.647,16.82,36.67,0.001,1,7.54,CL
62,0.1157271308123013,5610,2.8747334480285645,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M837_E02250N3552_S000,E02020N3739E02658N3366-PS-Str_PYes_Hom-M837_E02250N3552_S000,0.49,19,7.7,1.3493981556941878e-07,0.001,0.001,2.875,22.5,35.52,0.001,1,8.37,HL
63,0.3872458409978226,25896,5.384842395782471,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02328N3482_S001,E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02328N3482_S001,0.81,13,26.7,2.809040752371548e-08,0.008,0.008,5.385,23.28,34.82,0.008,1,8.88,HL
64,0.1054893434293373,4859,2.9128804206848145,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M837_E02155N3547_S000,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M837_E02155N3547_S000,0.4,16,8.6,8.359462452540993e-08,0.001,0.001,2.913,21.55,35.47,0.001,1,8.37,HL
65,0.4583515430858803,26667,5.415162086486816,PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01673N3781_S005,E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01673N3781_S005,1.68,26,8,2.6988438772908037e-09,0.05,0.043,5.415,16.73,37.81,0.05,1,8.61,CL
66,0.003621575,529,0.2447855770587921,PS_manning003/E02113N3823E02873N3483-PS-Str_PYes_Hom-M792_E02187N3749_S000,E02113N3823E02873N3483-PS-Str_PYes_Hom-M792_E02187N3749_S000,0.1,0,60,1.2305581387467449e-05,0.001,0.001,0.245,21.87,37.49,0.001,1,7.92,HL
67,0.091608018,4912,2.8335347175598145,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M850_E02144N3668_S000,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M850_E02144N3668_S000,0.58,19,7.7,2.1768590349572497e-07,0.001,0.001,2.834,21.44,36.68,0.001,1,8.5,HL
68,0.029254066,2027,0.8227550387382507,PS_manning003/E01964N3926E02184N3685-PS-Mur_PYes_Hom-M809_E02053N3710_S000,E01964N3926E02184N3685-PS-Mur_PYes_Hom-M809_E02053N3710_S000,0.28,19,26.7,3.246853328598778e-06,0.001,0.001,0.823,20.53,37.1,0.001,1,8.09,HL
69,0.023350124,1778,0.7622981667518616,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M792_E01646N3818_S000,E01548N3896E01854N3659-PS-Mur_PYes_Hom-M792_E01646N3818_S000,0.27,23,13.3,1.5677478481452318e-06,0.005,0.004,0.762,16.46,38.18,0.005,1,7.92,CL
70,0.2166533222538017,12494,2.366428852081299,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02351N3465_S004,E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02351N3465_S004,0.52,13,26.7,3.062162207326369e-08,0.004,0.002,2.366,23.51,34.65,0.004,1,8.61,HL
71,0.09864892,6874,1.7338616847991943,PS_manning003/E02113N3823E02873N3483-PS-Str_PNo_Hom-M861_E02226N3659_S005,E02113N3823E02873N3483-PS-Str_PNo_Hom-M861_E02226N3659_S005,0.73,19,80,2.155781228084532e-07,0.002,0.002,1.734,22.26,36.59,0.002,1,8.61,HL
72,0.3071110941403741,17557,4.690599918365479,PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M871_E02072N3658_S002,E01849N3766E02950N3220-PS-Str_PYes_Var-M871_E02072N3658_S002,1.52,19,12.6,1.3139693033169596e-07,0.001,0.001,4.691,20.72,36.58,0.001,1,8.71,HL
73,0.2799553323283031,18807,2.240577459335327,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02337N3493_S001,E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02337N3493_S001,0.62,12,26.7,3.108221934189017e-08,0.004,0.002,2.241,23.37,34.93,0.004,1,8.61,HL
74,0.03284451,2250,1.2735010385513306,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M824_E02106N3725_S000,E02020N3739E02658N3366-PS-Mur_PYes_Var-M824_E02106N3725_S000,0.32,18,9.6,4.868818178550847e-07,0.001,0.001,1.274,21.06,37.25,0.001,1,8.24,HL
75,0.1394455091633036,8061,3.256210803985596,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M837_E02242N3492_S000,E02020N3739E02658N3366-PS-Str_PYes_Var-M837_E02242N3492_S000,0.47,14,8,8.26660686048534e-08,0.001,0.001,3.256,22.42,34.92,0.001,1,8.37,HL
76,0.446430185,31322,4.9896321296691895,PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02375N3448_S001,E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02375N3448_S001,0.75,14,26.7,1.337830556524116e-08,0.008,0.008,4.99,23.75,34.48,0.008,1,8.95,HL
77,0.3190571412306686,18152,4.385178089141846,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M837_E01746N3766_S000,E01548N3896E01854N3659-PS-Mur_PYes_Var-M837_E01746N3766_S000,1.49,14,8,2.5620173126414012e-08,0.018,0.014,4.385,17.46,37.66,0.018,1,8.37,CL
78,0.04002605,2369,1.3528505563735962,PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M809_E01714N3860_S000,E01548N3896E01854N3659-PS-Mur_PYes_Hom-M809_E01714N3860_S000,0.29,13,7.7,1.471533030251171e-07,0.002,0.001,1.353,17.14,38.6,0.002,1,8.09,CL
79,0.038736156,2006,1.4703432321548462,PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M732_E01605N3720_S000,E01548N3896E01854N3659-PS-Str_PYes_Var-M732_E01605N3720_S000,0.28,14,8,4.731703123005821e-07,0.001,0.001,1.47,16.05,37.2,0.001,1,7.32,CL
80,0.120662025,6871,3.825371265411377,PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Var-M824_E02064N3530_S000,E01849N3766E02950N3220-PS-Str_PYes_Var-M824_E02064N3530_S000,0.56,17,8.6,4.0911634497750016e-08,0.001,0.001,3.825,20.64,35.3,0.001,1,8.24,HL
81,0.025340918,1885,0.8148770332336426,PS_manning003/E02113N3823E02873N3483-PS-Str_PYes_Var-M824_E02236N3646_S000,E02113N3823E02873N3483-PS-Str_PYes_Var-M824_E02236N3646_S000,0.19,10,80,6.547735646407343e-06,0.001,0.001,0.815,22.36,36.46,0.001,1,8.24,HL
82,0.1002126123379238,5730,2.6685376167297363,PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M792_E01760N3738_S000,E01548N3896E01854N3659-PS-Str_PYes_Var-M792_E01760N3738_S000,0.63,16,7.7,8.75590639979713e-08,0.004,0.004,2.669,17.6,37.38,0.004,1,7.92,CL
83,0.9686264012374024,45733,10.483325958251951,PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M895_E02426N3465_S005,E02020N3739E02658N3366-PS-Mur_PYes_Var-M895_E02426N3465_S005,2.55,19,7.7,7.799009320084345e-09,0.01,0.01,10.483,24.26,34.65,0.01,1,8.95,HL
