idx,eve_id,MIH,P05,P16,P50,P84,P95,Pmean
26494,E02113N3823E02873N3483-PS-Str_PNo_Hom-M880_E02373N3559_S002,1.59,0.0,0.0,0.0,0.0,2.3366055374118662e-06,2.4156351770291897e-07
26496,E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02351N3465_S001,1.47,0.0,0.0,0.0,6.583049851450058e-07,2.8536347692288915e-06,4.23242378961354e-07
26500,E02113N3823E02873N3483-PS-Str_PNo_Hom-M880_E02321N3597_S003,1.44,0.0,0.0,0.0,0.0,2.444259445175009e-06,2.5153133716876317e-07
26513,E02113N3823E02873N3483-PS-Str_PNo_Hom-M880_E02293N3602_S003,1.43,0.0,0.0,0.0,0.0,2.3125254588341548e-06,2.379033948611784e-07
26538,E01849N3766E02950N3220-PS-Str_PYes_Var-M871_E02067N3642_S005,1.12,0.0,0.0,0.0,2.452763601453154e-07,2.3465331491356703e-06,9.686059681538324e-07
26540,E02113N3823E02873N3483-PS-Str_PNo_Hom-M880_E02335N3587_S005,1.44,0.0,0.0,0.0,0.0,2.4413132005485943e-06,2.514967117321425e-07
26544,E02020N3739E02658N3366-PS-Mur_PYes_Var-M902_E02386N3481_S001,1.56,0.0,0.0,0.0,0.0,2.456888037514562e-06,3.4449686586623614e-07
26584,E02113N3823E02873N3483-PS-Str_PNo_Var-M871_E02389N3541_S003,1.08,0.0,0.0,0.0,0.0,1.3803544935491693e-05,1.3673956414292524e-06
26589,E01517N3917E01678N3772-PS-Str_PYes_Hom-M809_E01630N3865_S000,0.32,0.0,0.0,0.0,2.342411099328666e-06,8.843773114521253e-06,1.552246293798268e-06
26599,E01548N3896E01854N3659-PS-Mur_PYes_Var-M809_E01727N3708_S000,0.89,0.0,0.0,6.0491930272926e-08,7.675264171324755e-07,2.5620989868306208e-06,5.581110269836458e-07
26606,E01577N3897E01966N3571-PS-Str_PYes_Var-M837_E01773N3729_S000,1.07,0.0,0.0,0.0,3.531124620768443e-07,8.651001019175982e-06,3.6027361390581227e-06
26613,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M902_E02409N3467_S004,1.26,0.0,0.0,0.0,6.769524563589594e-07,2.95646728413308e-06,4.3548302208223576e-07
26615,E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02304N3498_S003,2.35,0.0,0.0,0.0,2.5210967782153032e-08,1.693259138158013e-06,2.3590548285790678e-07
26630,E02113N3823E02873N3483-PS-Str_PNo_Var-M861_E02293N3602_S001,0.74,0.0,0.0,0.0,5.4736457945669305e-06,1.1630658483649562e-05,4.189567079887463e-06
26657,E02113N3823E02873N3483-PS-Str_PNo_Hom-M861_E02255N3645_S005,0.76,0.0,0.0,0.0,5.109201021387944e-06,1.0767516668401204e-05,3.8888740865414586e-06
26670,E02020N3739E02658N3366-PS-Str_PNo_Hom-M837_E02204N3672_S000,0.35,0.0,8.100261856010195e-14,2.3422901633581785e-06,2.1970834516537215e-05,0.000120655215710175,1.7622793883269373e-05
