id	count	dmax	logsum	mean	sd	dzmin	dzmax	hmax
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01882N3378_D010_S247D30R090_A006995_S075	69162	6.327	11.109	0.965	0.983	-0.005	-0.004	6.694
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01739N3490_D010_S067D70R090_A006995_S075	111442	11.429	11.716	1.1	1.122	-0.006	-0.005	12.772
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01936N3378_D010_S067D70R090_A006995_S075	79770	12.768	11.333	1.047	1.15	-0.002	-0.002	14.388
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01836N3422_D010_S067D70R270_A006995_S075	77106	11.591	11.307	1.055	1.093	0.003	0.004	13.568
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01739N3490_D010_S067D50R090_A006995_S075	105773	9.198	11.639	1.073	1.072	-0.011	-0.01	11.351
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01824N3355_D010_S247D50R090_A006995_S075	52722	4.574	10.815	0.944	0.946	-0.006	-0.005	5.951
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01836N3422_D010_S067D70R270_A004781_S062	37738	6.684	10.456	0.921	1.013	0.002	0.002	7.727
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01782N3422_D010_S067D30R090_A006995_S075	65313	7.143	11.044	0.957	1.011	-0.008	-0.007	8.445
BS_4-8_manning003_extreme/E01267N3753E01646N3535-BS-M809_E01557N3557_D010_S067D70R270_A006995_S075	24760	4.523	10.07	0.954	0.902	0.006	0.007	6.321
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01874N3333_D010_S067D30R090_A006995_S075	64805	7.954	11.045	0.967	1.018	-0.005	-0.004	9.924
BS_4-8_manning003_extreme/E01267N3753E01646N3535-BS-M774_E01568N3625_D010_S067D90R270_A003139_S050	18048	4.537	9.74	0.941	0.803	-0.006	-0.003	5.786
BS_4-8_manning003_extreme/E01267N3753E01646N3535-BS-M809_E01530N3737_D010_S157D90R270_A006995_S075	506504	18.771	14.334	3.316	1.893	1.191	2.46	17.692
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01766N3490_D010_S247D30R090_A006995_S075	80855	7.205	11.291	0.991	1.001	-0.009	-0.008	8.242
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01778N3400_D010_S067D30R090_A004781_S062	22614	4.33	9.94	0.917	0.863	-0.004	-0.004	6.435
BS_4-8_manning003_extreme/E01470N3877E01631N3641-BS-M792_E01603N3670_D010_S022D90R090_A008541_S034	81821	13.629	11.298	0.986	1.185	0.033	0.057	15.327
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01954N3333_D010_S247D50R090_A006995_S075	39474	4.634	10.523	0.941	0.919	-0.004	-0.004	5.366
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01857N3535_D010_S022D70R090_A006995_S075	85297	14.749	11.373	1.02	1.211	-0.005	-0.004	16.362
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01813N3445_D010_S067D70R090_A006995_S075	99874	11.098	11.568	1.058	1.095	-0.004	-0.004	12.879
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M792_E01798N3512_D010_S247D30R090_A004781_S062	24106	4.209	10.026	0.937	0.84	-0.005	-0.004	5.217
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01886N3400_D010_S067D30R090_A006995_S075	69156	8.352	11.11	0.967	1.024	-0.005	-0.005	11.104
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01863N3422_D010_S067D70R090_A006995_S075	91917	11.476	11.47	1.042	1.102	-0.003	-0.003	12.863
BS_4-8_manning003_extreme/E01267N3753E01646N3535-BS-M809_E01530N3737_D144_S067D10R270_A006995_S075	336944	8.186	13.256	1.696	1.339	0.652	2.494	7.999
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01901N3333_D010_S067D70R090_A006995_S075	92730	10.593	11.506	1.071	1.107	-0.003	-0.003	12.15
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01640N3557_D010_S067D70R090_A006995_S075	96849	13.313	11.531	1.051	1.143	-0.008	-0.007	15.039
BS_4-8_manning003_extreme/E01522N3585E03578N2685-BS-M809_E01840N3445_D010_S067D30R090_A006995_S075	63643	6.768	10.979	0.921	0.977	-0.006	-0.006	8.202
