id	count	max	logsum	mean	sd
E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02478N3458_S004	46451	12.55	12.16	4.11	2.24
E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02189N3468_S001	18866	8.3	10.9	2.87	1.44
E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02120N3675_S002	16477	6.15	10.65	2.55	1.26
E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01695N3801_S005	38326	8.49	11.76	3.33	1.58
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02326N3457_S004	13271	2.24	10.01	1.67	0.27
E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02318N3471_S001	51012	12.88	12.38	4.65	2.64
E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02168N3560_S001	36943	10.44	11.81	3.63	2.02
E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01731N3813_S004	28092	6.96	11.17	2.52	0.99
E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01727N3708_S003	30055	6.45	11.23	2.51	0.9
E02020N3739E02658N3366-PS-Str_PYes_Var-M902_E02344N3478_S002	53142	12.66	12.44	4.77	2.65
E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02144N3587_S005	38128	12.13	11.99	4.21	2.51
E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02321N3496_S002	38544	9.58	11.82	3.53	1.91
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02183N3593_S003	14159	6.5	10.36	2.23	1.11
E01548N3896E01854N3659-PS-Str_PYes_Hom-M732_E01735N3756_S000	765	0.8	5.45	0.3	0.13
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M871_E02122N3652_S002	9214	4.04	9.51	1.46	0.75
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M895_E02217N3548_S004	27447	7.81	11.31	2.99	1.4
E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01677N3724_S003	32789	8.12	11.42	2.77	1.28
E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02253N3481_S004	31412	9.68	11.57	3.38	1.88
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02458N3438_S005	36413	11.4	11.76	3.51	1.96
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02184N3552_S003	26927	8.18	11.23	2.8	1.32
E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02242N3492_S001	37377	6.9	11.56	2.8	0.67
E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02166N3518_S005	17379	7.57	10.74	2.65	1.29
E01577N3897E01966N3571-PS-Str_PYes_Var-M861_E01739N3699_S004	41888	8.55	11.92	3.6	1.64
E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02368N3461_S001	47711	12.81	12.24	4.32	2.51
E02020N3739E02658N3366-PS-Str_PYes_Var-M871_E02253N3503_S001	22402	9.02	11.11	2.97	1.44
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01714N3716_S001	34427	8.81	11.5	2.88	1.18
E01548N3896E01854N3659-PS-Str_PYes_Var-M861_E01734N3775_S004	31498	6.85	11.38	2.77	1.18
E02020N3739E02658N3366-PS-Str_PYes_Hom-M888_E02279N3514_S004	31524	8.76	11.4	2.84	1.32
E01548N3896E01854N3659-PS-Mur_PYes_Hom-M754_E01668N3695_S000	1465	1.43	6.74	0.58	0.3
E01577N3897E01966N3571-PS-Str_PYes_Var-M861_E01750N3709_S002	37112	7.65	11.66	3.12	1.42
E01548N3896E01854N3659-PS-Str_PYes_Hom-M861_E01700N3744_S001	31355	7.35	11.27	2.49	0.86
E02113N3823E02873N3483-PS-Str_PYes_Var-M809_E02209N3683_S000	744	0.37	5.21	0.24	0.07
E02020N3739E02658N3366-PS-Mur_PYes_Hom-M888_E02393N3468_S005	36601	11.95	11.83	3.75	2.19
E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02229N3514_S003	38440	10.17	11.85	3.63	2.07
E01577N3897E01966N3571-PS-Str_PYes_Var-M850_E01774N3710_S000	29900	7.86	11.32	2.76	1.3
E02020N3739E02658N3366-PS-Str_PYes_Var-M895_E02206N3569_S003	31355	9.31	11.57	3.36	1.79
E02020N3739E02658N3366-PS-Str_PYes_Var-M888_E02175N3577_S004	26846	8.61	11.34	3.14	1.56
E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02296N3512_S003	33197	7.52	11.33	2.5	0.74
E02020N3739E02658N3366-PS-Str_PYes_Hom-M902_E02304N3498_S003	47826	13.23	12.28	4.48	2.69
E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02097N3634_S002	9788	6.82	9.61	1.52	0.78
E02020N3739E02658N3366-PS-Mur_PYes_Var-M902_E02313N3510_S001	43530	10.42	12.03	3.86	2.06
E01577N3897E01966N3571-PS-Str_PYes_Hom-M861_E01774N3710_S004	28828	7.26	11.2	2.54	1.04
E02020N3739E02658N3366-PS-Mur_PYes_Var-M888_E02226N3538_S004	29911	8.51	11.42	3.06	1.52
E02020N3739E02658N3366-PS-Mur_PYes_Var-M902_E02368N3461_S005	45805	12.08	12.12	4.0	2.2
E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02171N3606_S001	30510	9.84	11.58	3.51	1.82
E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02202N3553_S002	23439	8.38	11.22	3.19	1.63
