eve_id,id,max_off,wave_period,dominant_period,mean_prob,dzmax,dzmin,count,dmax,lon,lat,Location,LocationCount,max_absdz,event_type,importance,uniform_wt,gridcount,grid_id
E01522N3585E03578N2685-BS-M754_E01692N3535_D010_S247D30R090_A001972_S039,BS_manning003/E01522N3585E03578N2685-BS-M754_E01692N3535_D010_S247D30R090_A001972_S039,0.55,13,8.0,1.0722487803547172e-09,-0.002,-0.002,6693,3.612,16.9211,35.3539,35351692,60.0,0.002,1.0,5.897368291950945e-10,1.8674136321195144e-05,82.0,"35.057,16.842"
E01889N4173E02097N3847-BS-M707_E02038N3850_D010_S157D50R090_A001194_S013,BS_manning003/E01889N4173E02097N3847-BS-M707_E02038N3850_D010_S157D50R090_A001194_S013,0.09,13,7.7,6.391631495817022e-07,0.001,0.001,795,0.653,20.3811,38.5016,38502038,103.0,0.001,1.0,5.7524683462353194e-08,1.8674136321195144e-05,103.0,"38.357,20.142"
E01267N3753E01646N3535-BS-M774_E01470N3715_D107_S292D70R270_A003139_S050,BS_manning003/E01267N3753E01646N3535-BS-M774_E01470N3715_D107_S292D70R270_A003139_S050,0.53,15,8.0,5.397147012910099e-09,1.385,0.721,23558,4.338,14.7066,37.1526,37151470,237.0,1.385,0.0,2.8604879168423527e-09,1.8674136321195144e-05,337.0,"36.857,14.442"
E01889N4173E02097N3847-BS-M774_E02025N3917_D010_S337D30R090_A005608_S028,BS_manning003/E01889N4173E02097N3847-BS-M774_E02025N3917_D010_S337D30R090_A005608_S028,0.16,14,80.0,8.158057038039419e-07,-0.001,-0.001,1474,0.722,20.2566,39.1761,39172025,28.0,0.001,1.0,1.305289126086307e-07,1.8674136321195144e-05,28.0,"38.957,20.142"
E01598N4052E01840N3892-BS-M732_E01798N3940_D010_S112D50R090_A002108_S017,BS_manning003/E01598N4052E01840N3892-BS-M732_E01798N3940_D010_S112D50R090_A002108_S017,0.39,13,7.7,3.2813992404071816e-08,0.001,0.001,2211,2.228,17.9844,39.4009,39401798,97.0,0.001,1.0,1.2797457037588009e-08,1.8674136321195144e-05,97.0,"39.257,17.742"
E01267N3753E01646N3535-BS-M650_E01530N3737_D010_S157D70R270_A000178_S012,BS_manning003/E01267N3753E01646N3535-BS-M650_E01530N3737_D010_S157D70R270_A000178_S012,0.04,0,8.3,1.6784312128277816e-08,0.001,-0.001,321,0.231,15.3075,37.3774,37371530,1315.0,0.001,1.0,6.713724851311127e-10,1.8674136321195144e-05,1315.0,"37.157,15.042"
E01267N3753E01646N3535-BS-M707_E01530N3737_D062_S202D30R090_A000668_S023,BS_manning003/E01267N3753E01646N3535-BS-M707_E01530N3737_D062_S202D30R090_A000668_S023,0.26,16,8.0,2.53399668862437e-08,0.007,-0.031,1867,1.295,15.3075,37.3774,37371530,1315.0,0.031,1.0,6.588391390423363e-09,1.8674136321195144e-05,1315.0,"37.157,15.042"
E01267N3753E01646N3535-BS-M754_E01547N3670_D010_S247D30R270_A001972_S039,BS_manning003/E01267N3753E01646N3535-BS-M754_E01547N3670_D010_S247D30R270_A001972_S039,0.96,12,8.0,6.391248509520774e-09,-0.01,-0.066,11304,6.323,15.479,36.7029,36701547,617.0,0.066,1.0,6.135598569139943e-09,1.8674136321195144e-05,617.0,"36.557,15.342"
E01267N3753E01646N3535-BS-M732_E01551N3692_D076_S067D10R090_A001180_S030,BS_manning003/E01267N3753E01646N3535-BS-M732_E01551N3692_D076_S067D10R090_A001180_S030,0.69,15,8.0,7.1716880808306455e-09,-0.077,-0.645,8535,4.384,15.5157,36.9278,36921551,1188.0,0.645,0.0,4.948464775773145e-09,1.8674136321195144e-05,1960.0,"36.857,15.342"
E01522N3585E03578N2685-BS-M792_E01863N3422_D010_S067D50R270_A004781_S062,BS_manning003/E01522N3585E03578N2685-BS-M792_E01863N3422_D010_S067D50R270_A004781_S062,1.2,14,8.6,5.012580007411693e-10,0.002,0.002,14408,5.579,18.6362,34.2298,34221863,40.0,0.002,1.0,6.015096008894031e-10,1.8674136321195144e-05,116.0,"34.157,18.342"
E01267N3753E01646N3535-BS-M809_E01491N3670_D010_S292D50R090_A006995_S075,BS_manning003/E01267N3753E01646N3535-BS-M809_E01491N3670_D010_S292D50R090_A006995_S075,1.45,17,8.0,5.693106079391388e-09,0.088,0.057,21286,5.586,14.9182,36.7029,36701491,152.0,0.088,1.0,8.255003815117513e-09,1.8674136321195144e-05,152.0,"36.557,14.742"
E01470N3877E01631N3641-BS-M707_E01559N3737_D010_S337D70R270_A001194_S013,BS_manning003/E01470N3877E01631N3641-BS-M707_E01559N3737_D010_S337D70R270_A001194_S013,0.44,13,8.0,1.2652869908896212e-08,-0.008,-0.024,2376,2.559,15.5904,37.3774,37371559,705.0,0.024,1.0,5.567262759914333e-09,1.8674136321195144e-05,705.0,"37.157,15.342"
