idx,eve_id,MIH,P05,P16,P50,P84,P95,Pmean
50562,E02020N3739E02658N3366-PS-Str_PNo_Var-M809_E02142N3694_S000,0.2105751,2.0078203026021044e-17,2.4081628769211376e-08,2.6930183480878512e-06,1.0318607261836941e-05,3.677998070000238e-05,7.13139466768302e-06
50564,E02020N3739E02658N3366-PS-Mur_PNo_Var-M809_E02182N3695_S000,0.1083374,3.876883192302385e-17,5.3233242361527885e-08,5.693765574007169e-06,2.2214988948954166e-05,7.387297550135075e-05,1.4851616777821552e-05
50586,E02113N3823E02873N3483-PS-Mur_PYes_Var-M809_E02233N3717_S000,0.11138916,0.0,0.0,1.4539234473429697e-05,2.8221544591869772e-05,3.943803708779854e-05,1.5727477965437926e-05
50612,E02020N3739E02658N3366-PS-Str_PYes_Var-M792_E02201N3643_S000,0.12207031,0.0,7.067887495294062e-10,8.794533299512208e-06,3.9335705725698294e-05,8.862246815311781e-05,2.1268423278143754e-05
50616,E02113N3823E02873N3483-PS-Mur_PYes_Var-M792_E02138N3737_S000,0.11291504,3.91517382091428e-06,5.883759376114575e-06,1.7008873290393843e-05,2.6558954937718797e-05,4.483722936980227e-05,1.9547399390727207e-05
50630,E01548N3896E01854N3659-PS-Mur_PYes_Hom-M707_E01793N3787_S000,0.07476807,0.0,0.0,1.0914767612290013e-05,9.456962951168723e-05,0.0004488653188732,7.284278636958631e-05
50642,E02113N3823E02873N3483-PS-Str_PYes_Var-M809_E02348N3529_S000,0.13428116,4.814297568930293e-07,4.620146917983762e-06,1.513899969767174e-05,2.617531485695122e-05,3.739636647564356e-05,1.624303751277688e-05
50644,E01964N3926E02184N3685-PS-Str_PNo_Var-M774_E02093N3745_S000,0.09765625,1.315877761810682e-07,1.8866692738575896e-06,1.3286562533935196e-05,5.732437467875802e-05,0.00010530791032092499,2.801035730412686e-05
50662,E02113N3823E02873N3483-PS-Mur_PYes_Hom-M792_E02349N3553_S000,0.11138916,5.444170691735856e-06,8.575029492418058e-06,2.4701763720214104e-05,3.77109914446394e-05,6.734041688832605e-05,2.844066867740407e-05
50676,E01964N3926E02184N3685-PS-Str_PYes_Var-M774_E02093N3745_S000,0.09765625,1.315877761810682e-07,1.8866692738575896e-06,1.3286562533935196e-05,5.732437467875802e-05,0.00010530791032092499,2.801035730412686e-05
50724,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M809_E02289N3573_S000,0.3189125,0.0,0.0,1.8431624247379504e-06,1.039493245698626e-05,2.93001380937272e-05,6.221436038091918e-06
50725,E02113N3823E02873N3483-PS-Mur_PYes_Hom-M792_E02287N3633_S000,0.15106583,3.758835771791641e-06,5.806332161810823e-06,1.6707374381520693e-05,2.576668986153634e-05,4.356891632129397e-05,1.9076410528205487e-05
50732,E02020N3739E02658N3366-PS-Str_PYes_Var-M809_E02245N3574_S000,0.23651505,0.0,0.0,3.006513092861395e-06,2.083925451382209e-05,3.542074622097756e-05,8.238229848132866e-06
50736,E02020N3739E02658N3366-PS-Str_PNo_Hom-M809_E02218N3646_S000,0.19073868,0.0,0.0,2.8998866610165067e-06,1.5955633583219596e-05,4.243105033612195e-05,9.279187789289324e-06
50754,E02113N3823E02873N3483-PS-Str_PYes_Var-M792_E02333N3573_S000,0.10681152,5.657362438873955e-06,8.723962279958027e-06,2.529176254350117e-05,3.859420284712595e-05,6.865245777385117e-05,2.9169261121431462e-05
50780,E02113N3823E02873N3483-PS-Str_PNo_Var-M792_E02244N3659_S000,0.09460449,5.680170296948223e-06,8.738018464964165e-06,2.518527484218854e-05,3.877214789424376e-05,6.576270977507075e-05,2.8820538730687395e-05
50791,E02113N3823E02873N3483-PS-Mur_PNo_Var-M792_E02294N3618_S000,0.10681152,5.271913063258756e-06,8.341940670455233e-06,2.376780751151385e-05,3.701468000974563e-05,6.241197697611433e-05,2.7225419790434982e-05
50814,E02020N3739E02658N3366-PS-Str_PYes_Var-M774_E02092N3679_S000,0.1602211,0.0,0.0,8.079095352281526e-06,4.152019390015261e-05,6.816042888046957e-05,1.728248722430411e-05
50829,E02113N3823E02873N3483-PS-Mur_PNo_Var-M792_E02236N3646_S000,0.08544922,6.004500769975872e-06,9.40735455058058e-06,2.7236748435733407e-05,4.154709229910111e-05,7.426909234631147e-05,3.1295525335196e-05
50840,E02113N3823E02873N3483-PS-Mur_PNo_Var-M809_E02235N3671_S000,0.117492676,4.4265105604627556e-07,4.414600624848829e-06,1.4249550704302305e-05,2.420229552631749e-05,3.319399814002449e-05,1.506390805624139e-05
50844,E01964N3926E02184N3685-PS-Str_PYes_Var-M774_E02099N3777_S000,0.08544922,1.502640362069394e-07,2.1056878520002084e-06,1.4920478596403534e-05,6.568154684408759e-05,0.00012449847234798,3.2405529879628814e-05
50853,E02020N3739E02658N3366-PS-Mur_PYes_Var-M792_E02109N3687_S000,0.20752335,0.0,0.0,3.819250288640998e-06,2.276883681152797e-05,3.814201396325771e-05,1.0260256789403613e-05
50854,E02113N3823E02873N3483-PS-Str_PYes_Var-M792_E02226N3707_S000,0.08392334,6.189442062086764e-06,9.192385250828063e-06,2.6709149470084e-05,4.143264139075714e-05,6.995017633744812e-05,3.06313795886421e-05
50858,E01964N3926E02184N3685-PS-Mur_PYes_Var-M732_E02074N3729_S000,0.06561279,1.0509471989210167e-05,2.4102875138604637e-05,0.0001147308070437,0.0002654721187136799,0.00036722485117900497,0.00014318349210399453
50875,E02113N3823E02873N3483-PS-Mur_PYes_Var-M792_E02210N3708_S000,0.07476807,6.74717697099312e-06,1.0219676340105574e-05,2.950621933388366e-05,4.703623939913816e-05,7.929796180854718e-05,3.403191220302433e-05
50881,E02113N3823E02873N3483-PS-Mur_PYes_Var-M809_E02320N3583_S000,0.13275528,4.615484161563015e-07,4.457457691471662e-06,1.4679779936598117e-05,2.4466338006248397e-05,3.4611093903776056e-05,1.534971555101326e-05
50884,E01548N3896E01854N3659-PS-Str_PYes_Var-M680_E01720N3688_S000,0.14953995,0.0,0.0,3.310165613999756e-07,7.127081787645662e-06,4.4677656155265985e-05,6.301243527824619e-06
50899,E02113N3823E02873N3483-PS-Mur_PNo_Var-M792_E02272N3638_S000,0.117492676,4.723962095401902e-06,7.303283151107e-06,2.1067944045901914e-05,3.2405971168821576e-05,5.516141989810889e-05,2.4087050331198277e-05
50922,E02113N3823E02873N3483-PS-Mur_PYes_Hom-M792_E02293N3602_S000,0.13580704,4.119699829361641e-06,6.384531975142429e-06,1.8517981198209615e-05,2.8476364262232455e-05,5.033246440441825e-05,2.141260847119279e-05
50938,E02020N3739E02658N3366-PS-Mur_PYes_Var-M774_E02183N3593_S000,0.18005753,0.0,0.0,8.29910274630326e-06,4.7332912234293794e-05,6.898540599873137e-05,1.889730231620048e-05
50954,E02020N3739E02658N3366-PS-Mur_PNo_Hom-M774_E02116N3712_S000,0.1312294,7.960279633529284e-07,3.5967420568561804e-06,1.229017505284094e-05,4.2179004134683756e-05,7.499961030461536e-05,2.1607970284623448e-05
50962,E01964N3926E02184N3685-PS-Mur_PYes_Hom-M754_E02103N3738_S000,0.08239746,7.180533014559651e-06,1.3848526408719268e-05,4.7714440130632567e-05,0.000143717377598032,0.00023356202417234496,7.444541998540204e-05
50969,E02020N3739E02658N3366-PS-Mur_PYes_Hom-M809_E02166N3518_S000,0.34637833,0.0,0.0,5.322089366893246e-07,6.218346665610981e-06,3.318669845396056e-05,5.057649633769997e-06
50977,E02020N3739E02658N3366-PS-Str_PNo_Var-M809_E02193N3666_S000,0.12817764,3.679880138794623e-17,4.360458905218741e-08,4.917402278087942e-06,1.8934880156928092e-05,6.791754960948163e-05,1.3108795839855685e-05
50987,E02020N3739E02658N3366-PS-Str_PYes_Var-M774_E02219N3560_S000,0.21973038,0.0,0.0,7.5167576524871345e-06,4.1575816358286026e-05,5.905907352610584e-05,1.6396724662254882e-05
50999,E02113N3823E02873N3483-PS-Str_PNo_Hom-M774_E02306N3593_S000,0.105285645,7.365795254145926e-06,1.4660356065740378e-05,3.592869867986942e-05,5.1444722603593326e-05,8.337802859175649e-05,3.770418464888511e-05
51001,E01964N3926E02184N3685-PS-Str_PYes_Var-M732_E02048N3750_S000,0.05493164,1.1460682051310338e-05,2.7506678218325465e-05,0.00013101204357115,0.0002993877572864,0.00041766300576445996,0.00016060808528043128
51008,E01964N3926E02184N3685-PS-Mur_PNo_Var-M774_E02053N3767_S000,0.08239746,1.4714295744467587e-07,2.0608666663161064e-06,1.4688548020396192e-05,6.353381089598888e-05,0.000113674252927575,3.076716209848955e-05
51020,E02113N3823E02873N3483-PS-Mur_PYes_Hom-M792_E02280N3610_S000,0.14648819,3.7697665317885294e-06,5.818546351603922e-06,1.6828102700776705e-05,2.610929985971694e-05,4.592657363887659e-05,1.9498045344587235e-05
51029,E02113N3823E02873N3483-PS-Str_PNo_Var-M792_E02195N3735_S000,0.06561279,7.403672682168834e-06,1.1490230440453413e-05,3.2710840037920284e-05,5.1843273867883746e-05,8.814787945286064e-05,3.7991784690600565e-05
51030,E02113N3823E02873N3483-PS-Str_PYes_Hom-M792_E02270N3650_S000,0.12054443,4.480063077827625e-06,6.9746009294515266e-06,1.9983327718995633e-05,3.0947549472949434e-05,5.193356996737753e-05,2.2830655519140976e-05
51044,E02113N3823E02873N3483-PS-Str_PYes_Var-M809_E02233N3717_S000,0.10681152,0.0,0.0,1.5470702841688647e-05,3.0029581743947912e-05,4.196466832967314e-05,1.6735072159208352e-05
51051,E02020N3739E02658N3366-PS-Mur_PYes_Var-M792_E02184N3638_S000,0.1159668,0.0,0.0,8.345047213984193e-06,4.848688564395533e-05,8.079527594606986e-05,2.1941513294722765e-05
51062,E01964N3926E02184N3685-PS-Mur_PYes_Var-M754_E02069N3788_S000,0.051879883,1.0796617093012707e-05,2.044544971434501e-05,6.904450785374748e-05,0.00021281883958228795,0.00035101066904367996,0.00010988675317085173
51071,E02113N3823E02873N3483-PS-Str_PYes_Hom-M774_E02287N3633_S000,0.105285645,7.222762154055369e-06,1.414143017198991e-05,3.464731532454424e-05,4.848813389218857e-05,8.037321080862048e-05,3.61141465778458e-05
51093,E02113N3823E02873N3483-PS-Mur_PNo_Hom-M792_E02291N3588_S000,0.12665176,4.573814857885519e-06,6.9838189330518875e-06,2.019124067245583e-05,3.1310594455110526e-05,5.44525026426834e-05,2.3369061645359183e-05
51097,E02113N3823E02873N3483-PS-Mur_PNo_Hom-M774_E02291N3588_S000,0.09613037,7.919831211881083e-06,1.571440697022104e-05,3.813019967653784e-05,5.565118513441898e-05,8.988191814285022e-05,4.0595163243645794e-05
51099,E02020N3739E02658N3366-PS-Str_PYes_Hom-M754_E02256N3567_S000,0.12359619,8.856894752311088e-06,1.661488449361713e-05,4.406598379169937e-05,0.00011478689468446799,0.000205062145457,6.655223432591682e-05
51117,E02020N3739E02658N3366-PS-Str_PYes_Var-M774_E02122N3652_S000,0.12207031,0.0,0.0,1.1037946440024218e-05,5.8922272008588806e-05,9.282374993902677e-05,2.404853562933338e-05
51129,E02113N3823E02873N3483-PS-Mur_PNo_Var-M809_E02356N3540_S000,0.10986328,5.991040703117666e-07,5.632765589815342e-06,1.8516960027732112e-05,3.129019790857598e-05,4.401431372250387e-05,1.952494929475746e-05
51131,E02113N3823E02873N3483-PS-Str_PYes_Hom-M792_E02340N3543_S000,0.105285645,5.825267537076661e-06,8.931350569941859e-06,2.5929981901101966e-05,4.034377554875871e-05,7.043233124740652e-05,3.0089402917314594e-05
51144,E02113N3823E02873N3483-PS-Mur_PYes_Hom-M809_E02243N3633_S000,0.15869522,3.608592367440854e-07,3.3713706286265657e-06,1.1011666810528062e-05,1.850621123838734e-05,2.647687100640151e-05,1.16017616741464e-05
51147,E02020N3739E02658N3366-PS-Str_PYes_Var-M792_E02136N3678_S000,0.15869522,1.1021217377655221e-08,1.5257169229727392e-06,6.933985613733199e-06,2.2904027725643802e-05,5.4013494870217456e-05,1.4069551584250846e-05
51150,E02113N3823E02873N3483-PS-Mur_PYes_Hom-M792_E02340N3543_S000,0.10070801,6.090053534404621e-06,9.33732275114995e-06,2.7108622379788852e-05,4.2177591210728166e-05,7.363381426166765e-05,3.145710877970688e-05
51153,E01964N3926E02184N3685-PS-Str_PYes_Var-M774_E02067N3699_S000,0.14038467,0.0,0.0,4.559137765238504e-06,3.876994645575584e-05,9.287259039438125e-05,1.853200040999247e-05
51169,E02113N3823E02873N3483-PS-Mur_PYes_Hom-M774_E02291N3588_S000,0.09613037,7.919831211881083e-06,1.571440697022104e-05,3.813019967653784e-05,5.565118513441898e-05,8.988191814285022e-05,4.0595163243645794e-05
51209,E01548N3896E01854N3659-PS-Str_PYes_Var-M680_E01764N3850_S000,0.07476807,0.0,0.0,3.863394420711503e-06,2.922538738061869e-05,5.6227300683948527e-05,1.281286608678809e-05
51219,E02020N3739E02658N3366-PS-Str_PYes_Var-M792_E02207N3659_S000,0.11444092,1.838704624471642e-08,2.46023371952692e-06,1.0939205516398243e-05,3.71808224704937e-05,8.628765870031355e-05,2.2686332117587585e-05
51229,E02113N3823E02873N3483-PS-Str_PYes_Var-M792_E02263N3611_S000,0.13733292,4.003209225714773e-06,6.250473629008876e-06,1.754090975142665e-05,2.7253298132511413e-05,4.683736117653641e-05,2.0607221406041837e-05
