id	count	max	logsum	mean	sd	dzmin	dzmax
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M837_E02260N3491_S000	8077	3.225	8.417	0.56	0.43	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PNo_Var-M809_E02193N3666_S000	1000	0.552	5.152	0.172	0.117	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02242N3492_S004	32826	9.149	10.694	1.343	1.314	0.008	0.01
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M902_E02393N3468_S005	28493	3.982	10.127	0.878	0.688	0.01	0.011
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02287N3501_S002	32274	7.215	10.419	1.037	0.895	0.005	0.007
PS_manning003/E01964N3926E02184N3685-PS-Str_PYes_Var-M774_E02015N3756_S000	751	0.459	4.736	0.15	0.099	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M824_E02296N3538_S000	3376	2.946	7.307	0.441	0.411	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M861_E02366N3438_S003	19246	2.236	9.604	0.77	0.606	0.002	0.004
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M861_E02351N3465_S001	18713	2.209	9.559	0.757	0.601	0.004	0.004
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M754_E01634N3664_S000	2063	1.575	6.647	0.373	0.299	0.004	0.004
PS_manning003/E02113N3823E02873N3483-PS-Mur_PNo_Hom-M871_E02335N3587_S001	6372	1.386	7.983	0.46	0.27	0.005	0.005
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M809_E02156N3661_S000	1520	1.708	6.013	0.268	0.235	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M774_E01634N3808_S000	1176	0.553	5.368	0.181	0.122	0.002	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M792_E02148N3497_S000	1449	1.424	6.079	0.301	0.242	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02120N3675_S003	17519	6.759	9.853	1.086	0.997	0.004	0.004
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M824_E02236N3526_S000	3604	2.415	7.422	0.464	0.432	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M809_E01639N3751_S000	10850	3.791	8.911	0.683	0.527	-0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02236N3526_S001	17557	6.57	9.919	1.157	0.997	0.002	0.002
PS_manning003/E01964N3926E02184N3685-PS-Mur_PYes_Hom-M792_E02026N3730_S000	1611	1.143	6.148	0.29	0.212	0.001	0.001
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Hom-M774_E01613N3768_S000	3396	1.665	7.032	0.333	0.295	-0.002	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M895_E02408N3442_S002	28687	6.137	10.247	0.983	0.836	0.008	0.01
PS_manning003/E01548N3896E01854N3659-PS-Str_PYes_Var-M792_E01782N3777_S000	5919	2.758	7.935	0.472	0.465	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Var-M861_E02201N3524_S004	16779	6.329	9.781	1.054	0.884	0.002	0.002
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M809_E02168N3560_S000	2500	1.573	6.735	0.336	0.294	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Var-M880_E02121N3611_S002	17835	6.591	9.923	1.143	1.004	0.004	0.004
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Hom-M837_E01816N3807_S000	9037	2.927	8.544	0.568	0.452	0.007	0.008
PS_manning003/E01548N3896E01854N3659-PS-Mur_PYes_Var-M792_E01658N3666_S000	5664	2.15	7.686	0.384	0.343	0.007	0.01
PS_manning003/E02020N3739E02658N3366-PS-Str_PYes_Hom-M880_E02184N3638_S002	15920	4.349	9.543	0.876	0.709	0.005	0.007
PS_manning003/E01849N3766E02950N3220-PS-Str_PYes_Hom-M824_E02051N3574_S000	3274	1.813	7.089	0.366	0.328	0.001	0.001
PS_manning003/E02020N3739E02658N3366-PS-Mur_PYes_Hom-M861_E02247N3453_S001	10771	4.562	8.957	0.72	0.594	0.002	0.002
PS_manning003/E02113N3823E02873N3483-PS-Str_PYes_Hom-M792_E02333N3573_S000	950	0.489	5.022	0.159	0.106	0.001	0.001
