timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2025/02/14 14:31:29.245, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:31:59.246, 0, NVIDIA A100 80GB PCIe, 0 %, 0 %, 3 MiB, 81920 MiB
2025/02/14 14:31:59.247, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:31:59.248, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:31:59.249, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:32:29.250, 0, NVIDIA A100 80GB PCIe, 0 %, 0 %, 3 MiB, 81920 MiB
2025/02/14 14:32:29.251, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:32:29.251, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:32:29.252, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:32:59.253, 0, NVIDIA A100 80GB PCIe, 0 %, 0 %, 3 MiB, 81920 MiB
2025/02/14 14:32:59.254, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:32:59.254, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:32:59.255, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:33:29.256, 0, NVIDIA A100 80GB PCIe, 0 %, 0 %, 3 MiB, 81920 MiB
2025/02/14 14:33:29.257, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:33:29.258, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:33:29.259, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:33:59.260, 0, NVIDIA A100 80GB PCIe, 0 %, 0 %, 3 MiB, 81920 MiB
2025/02/14 14:33:59.261, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:33:59.261, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:33:59.262, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:34:29.263, 0, NVIDIA A100 80GB PCIe, 0 %, 0 %, 3 MiB, 81920 MiB
2025/02/14 14:34:29.264, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:34:29.265, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:34:29.265, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:34:59.266, 0, NVIDIA A100 80GB PCIe, 0 %, 0 %, 3 MiB, 81920 MiB
2025/02/14 14:34:59.267, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:34:59.267, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:34:59.268, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:35:29.269, 0, NVIDIA A100 80GB PCIe, 0 %, 0 %, 3 MiB, 81920 MiB
2025/02/14 14:35:29.270, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:35:29.271, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:35:29.272, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:35:59.273, 0, NVIDIA A100 80GB PCIe, 0 %, 0 %, 3 MiB, 81920 MiB
2025/02/14 14:35:59.274, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:35:59.274, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:35:59.275, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:36:29.277, 0, NVIDIA A100 80GB PCIe, 0 %, 0 %, 3 MiB, 81920 MiB
2025/02/14 14:36:29.278, 1, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:36:29.278, 2, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
2025/02/14 14:36:29.279, 3, NVIDIA A100 80GB PCIe, 0 %, 0 %, 0 MiB, 81920 MiB
